"AnnoA","Totale Studenti","ABRUZZO","BASILICATA","CALABRIA","CAMPANIA","EMILIA ROMAGNA","FRIULI VENEZIA GIULIA","LAZIO","LIGURIA","LOMBARDIA","MARCHE","MOLISE","PIEMONTE","PUGLIA","SARDEGNA","SICILIA","TOSCANA","TRENTINO ALTO ADIGE","UMBRIA","VALLE D'AOSTA","VENETO"
2014,74799,3.09,1.23,2.41,1.57,61.95,0.64,0.9,0.32,2.53,6.4,0.71,0.31,4.88,0.99,3.48,2.35,1.29,0.68,0.03,4.23
2015,73753,3.19,1.21,2.31,1.68,60.6,0.66,1.03,0.38,2.61,6.54,0.74,0.36,4.95,1.05,3.73,2.63,1.24,0.76,0.03,4.29
2016,74471,3.21,1.18,2.2,1.7,59.84,0.7,1.19,0.44,2.88,6.34,0.74,0.33,4.89,1.05,3.89,2.92,1.24,0.85,0.02,4.38
2017,74790,3.23,1.13,2.12,1.91,58.67,0.65,1.35,0.45,2.93,6.38,0.76,0.45,5.02,1.08,3.99,3.07,1.2,0.99,0.03,4.6
2018,75440,3.32,1.05,2.12,1.96,57.98,0.68,1.42,0.51,3.11,6.3,0.82,0.46,4.98,1.12,3.94,3.36,1.2,1.06,0.04,4.61
2019,75751,3.33,1.01,2.04,2.03,57.68,0.8,1.5,0.5,3.22,6.19,0.82,0.52,4.98,1.12,3.79,3.51,1.23,1.06,0.06,4.62
2020,75519,3.23,1.04,1.94,2.07,57.82,0.83,1.53,0.51,3.22,6.13,0.81,0.6,4.77,1.12,3.56,3.76,1.31,1.06,0.05,4.65
2021,76718,3.13,1.02,1.84,2.1,57.02,0.9,1.64,0.59,3.37,6.11,0.77,0.84,4.6,1.09,3.57,4.02,1.31,1.14,0.08,4.85
2022,78663,2.98,1,1.79,2.31,55.55,0.98,1.73,0.72,3.78,6.14,0.75,1,4.48,1.17,3.63,4.1,1.38,1.21,0.09,5.22
2023,78103,2.92,0.99,1.77,2.34,55.89,1.01,1.77,0.76,3.82,6.05,0.73,1.01,4.38,1.15,3.57,4.15,1.37,1.16,0.09,5.08
2024,76469,2.81,0.98,1.69,2.23,57.3,1.04,1.64,0.72,3.75,5.99,0.67,0.89,4.16,1.16,3.32,4.03,1.4,1.17,0.08,4.96
